,0_alg_name,1_accuracy_score,2_precision_score,3_recall_score,4_auc_score,5_F1_score
0,Logistic_pipe,0.7932960893854749,0.7647058823529411,0.7123287671232876,0.7806926854484363,0.7375886524822695
1,RandomForest_pipe,0.776536312849162,0.7894736842105263,0.6164383561643836,0.7516154044972861,0.6923076923076923
2,GradientBoost_pipe,0.776536312849162,0.8,0.6027397260273972,0.7494830705608685,0.6875
3,XgbRegression,0.770949720670391,0.7857142857142857,0.6027397260273972,0.744766089428793,0.6821705426356588
